Query ID,Precision,Recall,Accuracy,Missed Columns,Extra Columns,Matched Rows,Total Rows
35,1.0,1.0,True,0,0,5,5
6,1.0,1.0,True,0,0,7750,7750
81,1.0,1.0,True,0,0,77,77
58,0.9877450980392157,0.9877450980392157,True,0,0,97,102
7,0.8307692307692308,0.8307692307692308,True,0,0,0,15
56,1.0,1.0,True,0,0,14,14
4,1.0,1.0,True,0,0,1995,1995
15,1.0,1.0,True,0,0,19,19
19,1.0,1.0,True,0,0,4,4
31,1.0,1.0,True,0,0,45,45
38,1.0,1.0,True,0,0,1,1
53,0.0,0.0,True,0,0,0,0
42,1.0,1.0,True,0,0,93,93
65,1.0,1.0,True,0,0,23,23
61,1.0,1.0,True,0,0,2,2
9,1.0,1.0,True,0,0,267,267
70,1.0,1.0,True,0,0,1,1
77,0.9977989207611474,0.9977989207611474,True,0,0,10470,10563
26,1.0,1.0,True,0,0,12,12
18,1.0,1.0,True,0,0,5,5
69,1.0,1.0,True,0,0,91,91
40,1.0,1.0,True,0,0,221,221
29,1.0,1.0,True,0,0,179,179
23,0.4248138957816377,0.4248138957816377,True,0,0,0,65
16,1.0,1.0,True,0,0,8,8
25,1.0,1.0,True,0,0,146,146
